journal_name,short_name,dict,if2023,if5year,jcr,rank,cas
AQUACULTURAL ENGINEERING,AQUACULT ENG,FISHERIES,3.6,3.9,Q1,9/62,2
AQUACULTURE,AQUACULTURE,MARINE & FRESHWATER BIOLOGY,3.9,4.1,Q1,9/119,2
AQUACULTURE ECONOMICS & MANAGEMENT,AQUACULT ECON MANAG,FISHERIES,3.8,4.4,Q1,8/62,2
Aquaculture Environment Interactions,AQUACULT ENV INTERAC,MARINE & FRESHWATER BIOLOGY,2.2,2.6,Q1,29/119,2
AQUACULTURE INTERNATIONAL,AQUACULT INT,FISHERIES,2.2,2.5,Q2,17/62,3
AQUACULTURE NUTRITION,AQUACULT NUTR,FISHERIES,3,3.5,Q1,12/62,2
Aquaculture Reports,AQUACULT REP,FISHERIES,3.2,3.5,Q1,10/62,2
AQUACULTURE RESEARCH,AQUAC RES,FISHERIES,1.9,2.2,Q2,26/62,4
"Aquaculture, Fish and Fisheries",AQUACULT FISH FISH,FISHERIES,1.1,1.1,Q3,43/62,4
Aquatic Biology,AQUAT BIOL,MARINE & FRESHWATER BIOLOGY,1.3,2,Q3,75/119,4
AQUATIC BOTANY,AQUAT BOT,PLANT SCIENCES,1.9,2,Q2,121/265,4
AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,AQUAT CONSERV,WATER RESOURCES,2.5,2.8,Q2,54/127,3
AQUATIC ECOLOGY,AQUAT ECOL,MARINE & FRESHWATER BIOLOGY,1.7,2,Q2,52/119,4
AQUATIC ECOSYSTEM HEALTH & MANAGEMENT,AQUAT ECOSYST HEALTH,MARINE & FRESHWATER BIOLOGY,0.8,1,Q4,91/119,4
AQUATIC GEOCHEMISTRY,AQUAT GEOCHEM,GEOCHEMISTRY & GEOPHYSICS,1.7,1.8,Q3,54/101,4
AQUATIC INSECTS,AQUAT INSECT,ENTOMOLOGY,0.5,0.8,Q4,93/109,4
Aquatic Invasions,AQUAT INVASIONS,MARINE & FRESHWATER BIOLOGY,2.2,2.3,Q1,29/119,3
AQUATIC LIVING RESOURCES,AQUAT LIVING RESOUR,MARINE & FRESHWATER BIOLOGY,1.5,1.5,Q3,61/119,4
AQUATIC MAMMALS,AQUAT MAMM,ZOOLOGY,0.8,1.2,Q3,120/180,4
AQUATIC MICROBIAL ECOLOGY,AQUAT MICROB ECOL,MICROBIOLOGY,1.6,1.4,Q4,140/161,4
AQUATIC SCIENCES,AQUAT SCI,MARINE & FRESHWATER BIOLOGY,2,2.2,Q2,41/119,3
Aquatic Sciences and Engineering,AQUAT SCI ENG,MARINE & FRESHWATER BIOLOGY,0.8,0.7,Q4,91/119,4
AQUATIC TOXICOLOGY,AQUAT TOXICOL,TOXICOLOGY,4.1,4.4,Q1,20/106,3
AQUA-Water Infrastructure Ecosystems and Society,AQUA-UK,WATER RESOURCES,2.1,2.1,Q3,71/127,4
Arab Journal of Gastroenterology,ARAB J GASTROENTEROL,GASTROENTEROLOGY & HEPATOLOGY,1.1,1.4,Q4,121/143,4
Arab Journal of Urology,ARAB J UROL,UROLOGY & NEPHROLOGY,1.3,2.5,Q3,88/126,4
Arab Law Quarterly,ARAB LAW Q,LAW,0.5,0.4,Q3,211/421,4
Arab Studies Quarterly,ARAB STUD Q,AREA STUDIES,0.3,0.3,Q3,124/176,4
Arab World English Journal,ARAB WORLD ENGL J,LANGUAGE & LINGUISTICS,0.6,0.7,N/A,N/A,4
ARABIAN ARCHAEOLOGY AND EPIGRAPHY,ARAB ARCHAEOL EPIGR,ARCHAEOLOGY,0.7,0.9,N/A,N/A,3
ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING,ARAB J SCI ENG,MULTIDISCIPLINARY SCIENCES,2.6,2.5,Q2,40/134,4
Arabian Journal of Chemistry,ARAB J CHEM,"CHEMISTRY, MULTIDISCIPLINARY",5.3,5.6,Q2,65/230,2
Arabian Journal of Mathematics,ARAB J MATH,MATHEMATICS,0.9,1,Q2,145/489,4
Arabic Sciences and Philosophy,ARAB SCI PHILOS,PHILOSOPHY,0.3,0.5,N/A,N/A,4
Arabica,ARABICA,RELIGION,0.2,0.5,N/A,N/A,3
Aramaic Studies,ARAMAIC STUD,RELIGION,0.4,0.3,N/A,N/A,3
Araucaria-Revista Iberoamericana de Filosofia Politica y Humanidades,ARAUCARIA,PHILOSOPHY,0.2,0.2,N/A,N/A,4
ARBOR-CIENCIA PENSAMIENTO Y CULTURA,ARBOR,"HUMANITIES, MULTIDISCIPLINARY",0.5,0.5,N/A,N/A,4
ARCADIA,ARCADIA,LITERATURE,0.1,0.2,N/A,N/A,4
ARCHAEA-AN INTERNATIONAL MICROBIOLOGICAL JOURNAL,ARCHAEA,MICROBIOLOGY,2.3,3.2,Q3,109/161,N/A
ARCHAEOFAUNA,ARCHAEOFAUNA,ARCHAEOLOGY,0.7,0.7,N/A,N/A,4
Archaeologia Austriaca,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Archaeologia Baltica,ARCHAEOL BALTICA,ARCHAEOLOGY,0.6,N/A,N/A,N/A,4
Archaeologia Maritima Mediterranea-An International Journal on Underwater Archaeology,ARCHAEOL MARIT MEDIT,ARCHAEOLOGY,0.3,0.2,N/A,N/A,4
Archaeological and Anthropological Sciences,ARCHAEOL ANTHROP SCI,"GEOSCIENCES, MULTIDISCIPLINARY",2.1,2.2,Q3,127/253,2
Archaeological Dialogues,ARCHAEOL DIALOG,ARCHAEOLOGY,1.4,1.8,N/A,N/A,2
Archaeological Journal,ARCHAEOL J,ARCHAEOLOGY,0.9,0.7,N/A,N/A,2
Archaeological Prospection,ARCHAEOL PROSPECT,"GEOSCIENCES, MULTIDISCIPLINARY",2.1,1.9,Q3,127/253,3
Archaeological Reports-London,ARCHAEOL REP-LONDON,ARCHAEOLOGY,0.2,0.3,N/A,N/A,4
Archaeological Research in Asia,ARCHAEOL RES ASIA,ARCHAEOLOGY,0.9,1.2,N/A,N/A,3
Archaeologies-Journal of the World Archaeological Congress,ARCHAEOLOGIES,ARCHAEOLOGY,0.3,0.8,N/A,N/A,4
ARCHAEOLOGY,ARCHAEOLOGY-NY,ARCHAEOLOGY,0.3,0.2,N/A,N/A,4
Archaeology Ethnology and Anthropology of Eurasia,ARCHAEOL ETHNOL ANTH,ANTHROPOLOGY,0.3,0.4,Q4,110/139,4
ARCHAEOLOGY IN OCEANIA,ARCHAEOL OCEAN,ARCHAEOLOGY,1.1,2.5,N/A,N/A,2
Archaeology International,ARCHAEOL INT,ARCHAEOLOGY,0.1,0.3,N/A,N/A,4
ARCHAEOMETRY,ARCHAEOMETRY,"GEOSCIENCES, MULTIDISCIPLINARY",1.5,1.7,Q3,170/253,2
Archai-Revista de Estudos Sobre as Origens do Pensamento Ocidental,ARCHAI,"HUMANITIES, MULTIDISCIPLINARY",<0.1,0.1,N/A,N/A,4
Archeologia e Calcolatori,ARCHEOL CALC,ARCHAEOLOGY,0.4,0.3,N/A,N/A,4
Archeologicke Rozhledy,ARCHEOL ROZHL,ARCHAEOLOGY,0.2,0.3,N/A,N/A,4
Archeomatica-Tecnologie per i Beni Culturali,ARCHEOMATICA,"HUMANITIES, MULTIDISCIPLINARY",<0.1,0.1,N/A,N/A,4
ArcheoSciences-Revue d Archeometrie,ARCHEOSCIENCES-REV A,"GEOSCIENCES, MULTIDISCIPLINARY",0.3,0.3,Q4,242/253,4
Archipel-Etudes interdisciplinaires sur le monde insulindien,ARCHIPEL,ASIAN STUDIES,0.1,0.2,N/A,N/A,4
ArcHistoR-Architecture History Restoration,ARCHISTOR-ARCHIT HIS,ARCHITECTURE,0.1,0.1,N/A,N/A,4
Architect,ARCHITECT,ARCHITECTURE,0.2,0.1,N/A,N/A,4
ARCHITECTURAL DESIGN,ARCHIT DESIGN,ARCHITECTURE,0.3,0.3,N/A,N/A,4
Architectural Engineering and Design Management,ARCHIT ENG DES MANAG,"ENGINEERING, CIVIL",2.7,3.5,Q2,63/181,3
Architectural Histories,ARCHIT HIST-LONDON,ARCHITECTURE,0.4,0.5,N/A,N/A,3
ARCHITECTURAL HISTORY,ARCHIT HIST,HISTORY,0.1,0.1,Q3,327/518,4
ARCHITECTURAL RECORD,ARCHIT REC,ARCHITECTURE,<0.1,<0.1,N/A,N/A,4
Architectural Science Review,ARCHIT SCI REV,ARCHITECTURE,1.8,2.7,N/A,N/A,4
Architectural Theory Review,ARCHIT THEORY REV,ARCHITECTURE,0.2,N/A,N/A,N/A,4
Architecture and Culture,ARCHIT CULT,ARCHITECTURE,1.1,0.8,N/A,N/A,3
Architecture Civil Engineering Environment,ARCHIT CIV ENG ENVIR,"ENGINEERING, CIVIL",0.5,0.5,Q4,164/181,4
Architecture_MPS,AMPS,ARCHITECTURE,0.2,0.4,N/A,N/A,4
Architektura & Urbanizmus,ARCHITEKT URBAN,ARCHITECTURE,0.3,0.2,N/A,N/A,3
ARCHIV DER MATHEMATIK,ARCH MATH,MATHEMATICS,0.5,0.6,Q3,325/489,4
ARCHIV DER PHARMAZIE,ARCH PHARM,PHARMACOLOGY & PHARMACY,4.3,4.4,Q1,69/354,3
ARCHIV FUR DAS STUDIUM DER NEUEREN SPRACHEN UND LITERATUREN,ARCH STUD NEUE SPR,LITERATURE,<0.1,<0.1,N/A,N/A,4
ARCHIV FUR GESCHICHTE DER PHILOSOPHIE,ARCH GESCH PHILOS,PHILOSOPHY,0.5,0.5,N/A,N/A,2
ARCHIV FUR MOLLUSKENKUNDE,ARCH MOLLUSKENKD,MARINE & FRESHWATER BIOLOGY,0.5,0.4,Q4,107/119,4
ARCHIV FUR MUSIKWISSENSCHAFT,ARCH MUSIKWISS,MUSIC,0.1,<0.1,N/A,N/A,4
Archiv fur Papyrusforschung und Verwandte Gebiete,ARCH PAPYRUSFORSCH,"HUMANITIES, MULTIDISCIPLINARY",0.1,0.1,N/A,N/A,4
Archiv fur Rechts- und Sozialphilosophie,ARCH RECHTS- SOZIALP,PHILOSOPHY,0.1,0.1,N/A,N/A,4
ARCHIV FUR REFORMATIONSGESCHICHTE-ARCHIVE FOR REFORMATION HISTORY,ARCH REFORMATIONSGES,HISTORY,<0.1,<0.1,Q4,450/518,4
Archiv fur Religionsgeschichte,ARCH RELIG,RELIGION,0.2,0.5,N/A,N/A,4
Archiv Orientalni,ARCH ORIENT,"HUMANITIES, MULTIDISCIPLINARY",0.1,0.1,N/A,N/A,4
ARCHIVAL SCIENCE,ARCH SCI-NETHERLANDS,INFORMATION SCIENCE & LIBRARY SCIENCE,1.4,1.8,Q2,73/160,3
ARCHIVE FOR HISTORY OF EXACT SCIENCES,ARCH HIST EXACT SCI,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",0.7,0.7,Q4,111/135,2
ARCHIVE FOR MATHEMATICAL LOGIC,ARCH MATH LOGIC,MATHEMATICS,0.4,0.5,Q4,379/489,4
ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS,ARCH RATION MECH AN,MECHANICS,2.6,3.1,Q2,64/170,1
Archive for the Psychology of Religion-Archiv fur Religionspsychologie,ARCH PSYCHOL RELIG,RELIGION,0.8,1.4,N/A,N/A,4
ARCHIVE OF APPLIED MECHANICS,ARCH APPL MECH,MECHANICS,2.2,2.1,Q2,81/170,3
Archive of Clinical Cases,ARCH CLIN CASES,"MEDICINE, GENERAL & INTERNAL",0.8,N/A,Q3,190/325,4
Archive of Mechanical Engineering,ARCH MECH ENG,"ENGINEERING, MECHANICAL",1.2,1,Q3,134/180,4
Archives and Manuscripts,ARCH MANUSCR,INFORMATION SCIENCE & LIBRARY SCIENCE,1.3,1,Q2,77/160,3
Archives and Records-The Journal of the Archives and Records Association,ARCH REC,"HUMANITIES, MULTIDISCIPLINARY",0.8,1,N/A,N/A,3
Archives Animal Breeding,ARCH ANIM BREED,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",1.6,1.9,Q2,34/80,3
ARCHIVES DE PEDIATRIE,ARCH PEDIATRIE,PEDIATRICS,1.3,1.5,Q3,107/186,4
Archives des Maladies Professionnelles et de l Environnement,ARCH MAL PROF ENVIRO,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.4,0.4,Q4,384/403,4
ARCHIVES EUROPEENNES DE SOCIOLOGIE,ARCH EUR SOCIOL,SOCIOLOGY,1.2,1.7,Q3,121/217,3
Archives for Technical Sciences,ARCH TECH SCI,"ENGINEERING, GEOLOGICAL",0.2,0.2,Q4,63/63,4
ARCHIVES ITALIENNES DE BIOLOGIE,ARCH ITAL BIOL,NEUROSCIENCES,0.8,0.9,Q4,296/310,N/A
Archives of Academic Emergency Medicine,ARCH ACAD EMERG MED,EMERGENCY MEDICINE,2.9,2.9,Q1,9/54,4
Archives of Acoustics,ARCH ACOUST,ACOUSTICS,0.6,0.8,Q4,36/40,4
Archives of Aesthetic Plastic Surgery,ARCH AESTHET PLAST S,SURGERY,0.2,0.3,Q4,278/290,4
Archives of Agronomy and Soil Science,ARCH AGRON SOIL SCI,SOIL SCIENCE,2.3,2.7,Q3,26/49,4
ARCHIVES OF AMERICAN ART JOURNAL,ARCH AM ART J,ART,<0.1,<0.1,N/A,N/A,4
ARCHIVES OF ANIMAL NUTRITION,ARCH ANIM NUTR,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",2,2.6,Q1,20/80,3
ARCHIVES OF ASIAN ART,ARCH ASIAN ART,ASIAN STUDIES,0.2,0.3,N/A,N/A,2
ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,ARCH BIOCHEM BIOPHYS,BIOPHYSICS,3.8,3.8,Q1,15/77,3
Archives of Biological Sciences,ARCH BIOL SCI,BIOLOGY,0.7,0.8,Q4,87/109,4
Archives of Bone and Joint Surgery-ABJS,ARCH BONE JT SURG-AB,ORTHOPEDICS,1.2,1.5,Q3,94/136,4
Archives of Budo,ARCH BUDO,SPORT SCIENCES,1.4,1.2,Q3,78/127,4
Archives of Budo Science of Martial Arts and Extreme Sports,ARCH BUDO SCI MARTIA,SPORT SCIENCES,1.2,1,Q3,87/127,4
Archives of Cardiovascular Diseases,ARCH CARDIOVASC DIS,CARDIAC & CARDIOVASCULAR SYSTEMS,2.3,2.3,Q2,103/220,4
Archives of Civil and Mechanical Engineering,ARCH CIV MECH ENG,"MATERIALS SCIENCE, MULTIDISCIPLINARY",4.4,4.2,Q2,145/438,2
Archives of Civil Engineering,ARCH CIV ENG,"ENGINEERING, CIVIL",1.1,1,Q3,132/181,4
Archives of Clinical Infectious Diseases,ARCH CLIN INFECT DIS,INFECTIOUS DISEASES,0.5,0.8,Q4,123/132,4
ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,ARCH CLIN NEUROPSYCH,"PSYCHOLOGY, CLINICAL",2.1,2.6,Q2,80/180,4
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,ARCH COMPUT METHOD E,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",9.7,9.9,Q1,2/135,1
Archives of Control Sciences,ARCH CONTROL SCI,"MATHEMATICS, APPLIED",1.2,1,Q2,140/331,4
ARCHIVES OF DERMATOLOGICAL RESEARCH,ARCH DERMATOL RES,DERMATOLOGY,1.8,2.4,Q3,54/94,4
ARCHIVES OF DISEASE IN CHILDHOOD,ARCH DIS CHILD,PEDIATRICS,4.3,3.9,Q1,10/186,3
Archives of Disease in Childhood-Education and Practice Edition,ARCH DIS CHILDHOOD-E,PEDIATRICS,1.1,1.3,Q3,129/186,4
Archives of Disease in Childhood-Fetal and Neonatal Edition,ARCH DIS CHILD-FETAL,PEDIATRICS,3.9,4.5,Q1,14/186,2
Archives of Electrical Engineering,ARCH ELECTR ENG,"ENGINEERING, ELECTRICAL & ELECTRONIC",1.2,0.8,Q4,272/352,4
Archives of Endocrinology Metabolism,ARCH ENDOCRIN METAB,ENDOCRINOLOGY & METABOLISM,1.6,1.8,Q4,149/186,4
Archives of Environmental & Occupational Health,ARCH ENVIRON OCCUP H,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.4,1.7,Q3,295/403,4
ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,ARCH ENVIRON CON TOX,TOXICOLOGY,3.7,3.3,Q2,28/106,4
Archives of Environmental Protection,ARCH ENVIRON PROT,ENVIRONMENTAL SCIENCES,1.4,1.3,Q4,300/358,4
Archives of Epilepsy,ARCH EPILEPSY,CLINICAL NEUROLOGY,0.3,0.3,Q4,272/277,4
Archives of Foundry Engineering,ARCH FOUNDRY ENG,METALLURGY & METALLURGICAL ENGINEERING,0.6,0.6,Q4,75/90,4
ARCHIVES OF GERONTOLOGY AND GERIATRICS,ARCH GERONTOL GERIAT,GERIATRICS & GERONTOLOGY,3.5,3.6,Q2,29/74,3
ARCHIVES OF GYNECOLOGY AND OBSTETRICS,ARCH GYNECOL OBSTET,OBSTETRICS & GYNECOLOGY,2.1,2.3,Q2,57/136,4
Archives of Hellenic Medicine,ARCH HELL MED,"MEDICINE, GENERAL & INTERNAL",0.2,0.1,Q4,268/325,4
ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY,ARCH INSECT BIOCHEM,PHYSIOLOGY,1.5,2,Q4,70/85,4
Archives of Iranian Medicine,ARCH IRAN MED,"MEDICINE, GENERAL & INTERNAL",1,1.7,Q3,168/325,4
ARCHIVES OF MECHANICS,ARCH MECH,MECHANICS,1.1,0.9,Q4,137/170,4
ARCHIVES OF MEDICAL RESEARCH,ARCH MED RES,"MEDICINE, RESEARCH & EXPERIMENTAL",4.7,4.3,Q1,47/189,4
Archives of Medical Science,ARCH MED SCI,"MEDICINE, GENERAL & INTERNAL",3,3.2,Q1,58/325,4
ARCHIVES OF METALLURGY AND MATERIALS,ARCH METALL MATER,METALLURGY & METALLURGICAL ENGINEERING,0.7,0.6,Q4,70/90,4
ARCHIVES OF MICROBIOLOGY,ARCH MICROBIOL,MICROBIOLOGY,2.3,2.6,Q3,109/161,4
Archives of Mining Sciences,ARCH MIN SCI,MINING & MINERAL PROCESSING,1.2,1.1,Q3,20/31,4
ARCHIVES OF NATURAL HISTORY,ARCH NAT HIST,HISTORY & PHILOSOPHY OF SCIENCE,0.3,0.2,Q3,72/104,4
Archives of Neuroscience,ARCH NEUROSCI,NEUROSCIENCES,0.4,0.6,Q4,302/310,4
ARCHIVES OF ORAL BIOLOGY,ARCH ORAL BIOL,"DENTISTRY, ORAL SURGERY & MEDICINE",2.2,2.4,Q2,52/157,4
Archives of Orofacial Science,ARCH OROFAC SCI,"DENTISTRY, ORAL SURGERY & MEDICINE",0.1,0.2,Q4,151/157,4
ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY,ARCH ORTHOP TRAUM SU,SURGERY,2,2.3,Q2,108/290,3
Archives of Osteoporosis,ARCH OSTEOPOROS,ORTHOPEDICS,3.1,3,Q1,19/136,3
ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,ARCH PATHOL LAB MED,PATHOLOGY,3.7,4.1,Q1,19/88,3
Archives of Pediatric Infectious Diseases,ARCH PEDIATR INFECT,PEDIATRICS,0.5,0.6,Q4,153/186,4
ARCHIVES OF PHARMACAL RESEARCH,ARCH PHARM RES,PHARMACOLOGY & PHARMACY,6.9,5.7,Q1,15/354,2
ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,ARCH PHYS MED REHAB,SPORT SCIENCES,3.6,3.9,Q1,14/127,2
ARCHIVES OF PHYSIOLOGY AND BIOCHEMISTRY,ARCH PHYSIOL BIOCHEM,PHYSIOLOGY,2.5,2.7,Q2,36/85,4
Archives of Physiotherapy,ARCH PHYSIOTHER,REHABILITATION,2.1,N/A,Q1,40/169,3
ARCHIVES OF PHYTOPATHOLOGY AND PLANT PROTECTION,ARCH PHYTOPATH PLANT,PLANT SCIENCES,1,N/A,Q3,194/265,4
Archives of Plastic Surgery-APS,ARCH PLAST SURG-APS,SURGERY,1.3,1.5,Q3,177/290,4
ARCHIVES OF PSYCHIATRIC NURSING,ARCH PSYCHIAT NURS,PSYCHIATRY,2.2,2.4,Q3,141/276,4
Archives of Psychiatry and Psychotherapy,ARCH PSYCHIATR PSYCH,PSYCHIATRY,0.3,0.6,Q4,264/276,4
Archives of Public Health,ARCH PUBLIC HEALTH,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.2,3.3,Q2,104/403,2
Archives of Rehabilitation,ARCH REHABIL,REHABILITATION,0.4,0.4,Q4,158/169,4
Archives of Rehabilitation Research and Clinical Translation,ARCH REHAB RES CLIN,REHABILITATION,1.9,1.9,Q2,56/169,4
Archives of Rheumatology,ARCH RHEUMATOL,RHEUMATOLOGY,1.1,1.3,Q4,48/57,4
ARCHIVES OF SEXUAL BEHAVIOR,ARCH SEX BEHAV,"SOCIAL SCIENCES, INTERDISCIPLINARY",2.9,3.7,Q1,24/263,2
ARCHIVES OF SUICIDE RESEARCH,ARCH SUICIDE RES,"PSYCHOLOGY, MULTIDISCIPLINARY",2.5,2.7,Q2,58/218,3
Archives of Thermodynamics,ARCH THERMODYN,THERMODYNAMICS,0.8,0.8,Q4,67/76,4
ARCHIVES OF TOXICOLOGY,ARCH TOXICOL,TOXICOLOGY,4.8,5.3,Q1,14/106,2
Archives of Trauma Research,ARCH TRAUMA RES,ORTHOPEDICS,0.3,0.4,Q4,129/136,4
ARCHIVES OF VIROLOGY,ARCH VIROL,VIROLOGY,2.5,2.2,Q3,25/41,4
Archives of Womens Mental Health,ARCH WOMEN MENT HLTH,PSYCHIATRY,3.2,4.1,Q2,88/276,3
Archivio Italiano di Urologia e Andrologia,ARCH ITAL UROL ANDRO,UROLOGY & NEPHROLOGY,1.4,1.2,Q3,84/126,4
ARCHIVIO STORICO ITALIANO,ARCH STORICO ITAL,HISTORY,0.2,0.2,Q2,234/518,3
Archivo Espanol de Arqueologia,ARCH ESPAN ARQUEOL,ARCHAEOLOGY,0.1,0.3,N/A,N/A,4
ARCHIVO ESPANOL DE ARTE,ARCH ESPAN ART,ART,<0.1,0.1,N/A,N/A,4
Archivos Argentinos de Pediatria,ARCH ARGENT PEDIATR,PEDIATRICS,0.7,0.8,Q4,146/186,4
ARCHIVOS DE BRONCONEUMOLOGIA,ARCH BRONCONEUMOL,RESPIRATORY SYSTEM,8.7,5.7,Q1,9/100,3
ARCHIVOS DE CARDIOLOGIA DE MEXICO,ARCH CARDIOL MEX,CARDIAC & CARDIOVASCULAR SYSTEMS,0.7,0.6,Q4,187/220,4
Archivos de Medicina,ARCH MED,"MEDICINE, GENERAL & INTERNAL",0.2,0.4,Q4,268/325,4
ARCHIVOS ESPANOLES DE UROLOGIA,ARCH ESP UROL,UROLOGY & NEPHROLOGY,0.6,0.5,Q4,112/126,4
ARCHIVOS LATINOAMERICANOS DE NUTRICION,ARCH LATINOAM NUTR,NUTRITION & DIETETICS,0.5,0.4,Q4,101/114,4
Archivum,ARCHIVUM,LANGUAGE & LINGUISTICS,0.1,0.1,N/A,N/A,4
ARCHIVUM IMMUNOLOGIAE ET THERAPIAE EXPERIMENTALIS,ARCH IMMUNOL THER EX,IMMUNOLOGY,2.9,3.4,Q3,108/181,4
Archivum Mathematicum,ARCH MATH-BRNO,MATHEMATICS,0.5,0.3,Q3,325/489,4
Archiwa Biblioteki i Muzea Koscielne,ARCH BIBL MUZ KOSC,RELIGION,<0.1,N/A,N/A,N/A,4
Archnet-IJAR International Journal of Architectural Research,ARCHNET-IJAR,ARCHITECTURE,1.8,1.7,N/A,N/A,2
ARCTIC,ARCTIC,"GEOGRAPHY, PHYSICAL",0.9,1.3,Q4,53/65,4
ARCTIC ANTARCTIC AND ALPINE RESEARCH,ARCT ANTARCT ALP RES,"GEOGRAPHY, PHYSICAL",1.6,1.9,Q3,41/65,4
Arctic Science,ARCT SCI,ENVIRONMENTAL SCIENCES,2.7,2.7,Q3,192/358,4
ARDEA,ARDEA,ORNITHOLOGY,0.8,1,Q3,16/29,4
Ardeola-International Journal of Ornithology,ARDEOLA,ORNITHOLOGY,1.4,1,Q2,N/A,3
ArDIn-Arte Diseno e Ingenieria,ARDIN,ART,0.2,0.3,N/A,N/A,4
AREA,AREA,GEOGRAPHY,1.6,1.8,Q2,75/171,3
Area Abierta,AREA ABIERTA,COMMUNICATION,0.4,0.3,Q4,187/227,4
Area Development and Policy,AREA DEV POLICY,DEVELOPMENT STUDIES,1.8,2.4,Q3,32/63,3
Areas-Revista Internacional de Ciencias Sociales,AREAS,"SOCIAL SCIENCES, INTERDISCIPLINARY",0.2,0.2,Q4,218/263,4
Arenal-Revista de Historia de las Mujeres,ARENAL,HISTORY,0.2,0.3,Q2,234/518,4
ARETHUSA,ARETHUSA,CLASSICS,0.2,0.4,N/A,N/A,2
Argentinian Journal of Applied Linguistics,ARGENT J APPL LINGUI,LINGUISTICS,0.2,0.2,Q4,254/297,4
Argument & Computation,ARGUM COMPUT,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1.7,1.7,Q3,143/197,3
Argumenta Oeconomica,ARGUM OECON,ECONOMICS,0.6,0.4,Q4,466/597,4
Argumentation,ARGUMENTATION,PHILOSOPHY,1,1.3,N/A,N/A,2
Argumentation and Advocacy,ARGUMENT ADVOCACY,COMMUNICATION,0.5,N/A,Q4,179/227,3
Argumentation et Analyse du Discours,ARGUM ANAL DISCOURS,LANGUAGE & LINGUISTICS,0.3,0.3,N/A,N/A,4
Argumentos de Razon Tecnica,ARGUM RAZON TEC,HISTORY & PHILOSOPHY OF SCIENCE,0.1,0.1,Q4,96/104,4
Argumentos-Revista de Filosofia,ARGUMENTOS,PHILOSOPHY,0.2,0.2,N/A,N/A,4
Arheologia,ARHEOLOGIA,ARCHAEOLOGY,0.3,N/A,N/A,N/A,4
Arheoloski Vestnik,ARHEOLOSKI VESTN,ARCHAEOLOGY,0.6,0.6,N/A,N/A,4
Arhiv za Higijenu Rada i Toksikologiju-Archives of Industrial Hygiene and Toxicology,ARH HIG RADA TOKSIKO,TOXICOLOGY,1.7,2.1,Q4,86/106,4
Arid Ecosystems,ARID ECOSYST,ECOLOGY,0.6,0.7,Q4,176/195,4
ARID LAND RESEARCH AND MANAGEMENT,ARID LAND RES MANAG,SOIL SCIENCE,1.9,2.1,Q3,34/49,3
ARIEL-A REVIEW OF INTERNATIONAL ENGLISH LITERATURE,ARIEL-REV INT ENGL,LITERATURE,0.4,0.5,N/A,N/A,3
Aries-Journal for the Study of Western Esotericism,ARIES,"HUMANITIES, MULTIDISCIPLINARY",0.3,0.6,N/A,N/A,3
ARION-A JOURNAL OF HUMANITIES AND THE CLASSICS,ARION,CLASSICS,0.1,0.2,N/A,N/A,4
Aristonothos-Scritti per il Mediterraneo Antico,ARISTONOTHOS-SCR MED,HISTORY,0.1,0.1,Q3,327/518,4
Arizona Quarterly,ARIZ Q,"LITERATURE, AMERICAN",<0.1,0.4,N/A,N/A,4
ARKANSAS HISTORICAL QUARTERLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARKIV FOR MATEMATIK,ARK MAT,MATHEMATICS,0.8,0.6,Q2,178/489,3
ARKIVOC,ARKIVOC,"CHEMISTRY, ORGANIC",0.8,0.8,Q4,47/58,4
ARMED FORCES & SOCIETY,ARMED FORCES SOC,SOCIOLOGY,1.2,1.3,Q3,121/217,3
Armenian Journal of Mathematics,ARMEN J MATH,MATHEMATICS,0.5,0.4,Q3,325/489,4
Arms & Armour,ARMS ARMOUR,MEDIEVAL & RENAISSANCE STUDIES,0.1,0.2,N/A,N/A,4
ARO-The Scientific Journal of Koya University,ARO,MULTIDISCIPLINARY SCIENCES,1.2,1,Q3,68/134,4
ARP Rheumatology,ARP RHEUMATOL,RHEUMATOLOGY,1.4,1.4,Q3,40/57,4
ARQ,ARQ,ARCHITECTURE,0.2,0.2,N/A,N/A,4
